f;A
30;7,8
40;9
50;10,5
60;10,5
70;14,4
80;14
90;15,5
100;14,8
110;15,8
120;16
130;20
140;21
150;25
160;33,6
165;41,4
166;43,2
167;45,8
168;48,4
169;51
170;54,2
171;57,6
172;61,2
173;64
174;68
175;72,4
176;78
176,5;80,4
177;85,2
177,5;88,4
178;89,6
178,2;89,6
179;88,8
179,5;88
180;86,4
180,5;85,6
181;84
182;80,8
183;76
184;69,6
185;64
186;58,4
187;53,6
188;48,8
189;44
190;40,8
195;29,6
200;23,2
210;14
220;11,4
230;10
240;12
250;12,8
260;14
270;15,6
280;18
290;21,6
300;22
310;25,2
320;28
330;33,6
335;38
340;44,8
345;56
346;59,2
347;63,2
348;67,6
349;72,4
350;79,2
350,5;83,2
351;86,4
351,5;90
352;94,4
352,5;100
353;105
353,5;112
354;120
354,5;126
355;133
355,5;140
356;148
356,5;155
357;160
357,5;162
358;162
358,5;159
359;155
359,5;148
360;140
360,5;134
361;128
361,5;120
362;112
362,5;104
363;98
363,5;92
364;88
364,5;83
365;78
366;70
367;63
368;56
369;52
370;48
371;44
372;40,8
373;38
374;35,8
375;33,6
380;25,6
385;20,8
390;17
400;13
410;10
420;8
430;7,4
440;7,4
450;8,4
460;9,8
470;9,8
480;9,8
490;10,8
500;12,8
510;17,4
515;20,8
520;28,4
521;30,4
522;33,6
523;36,8
524;40
525;44,8
526;49,6
527;56,8
528;65,6
529;76,8
529,5;83,2
530;90,4
530,5;98,4
531;104
531,5;112
532;116
532,5;117
533;116
533,5;112
534;106
534,5;99,2
535;91,2
535,5;84
536;76,8
537;65,6
538;56
539;49,6
540;44,4
541;40
542;36,4
543;33,6
544;30,4
545;28,4
550;21,6
555;17,6
560;14,8
570;12
580;10,4
590;10
600;9,4
