"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,2915;;
0,025;0,2872;-0,17;
0,050;0,2829;-0,16;0,60
0,075;0,2789;-0,14;1,01
0,100;0,2756;-0,11;1,41
0,125;0,2732;-0,07;1,72
0,150;0,2719;-0,02;1,88
0,175;0,2721;0,03;1,86
0,200;0,2734;0,07;1,69
0,225;0,2758;0,11;1,39
0,250;0,2792;0,14;0,96
0,275;0,2833;0,16;0,44
0,300;0,2876;0,17;-0,13
0,325;0,2919;0,16;-0,69
0,350;0,2957;0,13;-1,16
0,375;0,2987;0,10;-1,51
0,400;0,3006;0,05;-1,75
0,425;0,3015;0,01;-1,87
0,450;0,3011;-0,04;-1,84
0,475;0,2994;-0,09;-1,62
0,500;0,2965;-0,13;-1,26
0,525;0,2929;-0,15;-0,80
0,550;0,2888;-0,17;-0,27
0,575;0,2843;-0,17;0,30
0,600;0,2801;-0,15;0,86
0,625;0,2765;-0,12;1,31
0,650;0,2739;-0,08;1,63
0,675;0,2723;-0,04;1,82
0,700;0,2719;0,01;1,87
0,725;0,2727;0,06;1,76
0,750;0,2749;0,10;1,49
0,775;0,2780;0,13;1,09
0,800;0,2818;0,16;0,61
0,825;0,2861;0,17;0,08
0,850;0,2904;0,16;-0,46
0,875;0,2944;0,14;-0,96
0,900;0,2976;0,11;-1,38
0,925;0,3001;0,07;-1,69
0,950;0,3013;0,02;-1,87
0,975;0,3014;-0,02;-1,87
1,000;0,3001;-0,07;-1,70
1,025;0,2977;-0,11;-1,38
1,050;0,2943;-0,14;-0,96
1,075;0,2903;-0,16;-0,45
1,100;0,2860;-0,17;0,10
1,125;0,2817;-0,16;0,64
1,150;0,2779;-0,13;1,12
1,175;0,2749;-0,10;1,50
1,200;0,2728;-0,06;1,76
1,225;0,2719;-0,01;1,88
1,250;0,2724;0,04;1,83
1,275;0,2741;0,09;1,60
1,300;0,2768;0,12;1,24
1,325;0,2804;0,15;0,80
1,350;0,2845;0,16;0,29
1,375;0,2888;0,16;-0,26
1,400;0,2930;0,15;-0,79
1,425;0,2966;0,12;-1,27
1,450;0,2994;0,09;-1,63
