"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,2653;;
0,025;0,2676;0,07;
0,050;0,2690;0,04;-1,44
0,075;0,2695;0,00;-1,42
0,100;0,2691;-0,03;-1,36
0,125;0,2677;-0,07;-1,26
0,150;0,2657;-0,10;-1,10
0,175;0,2627;-0,12;-0,86
0,200;0,2593;-0,14;-0,54
0,225;0,2554;-0,15;-0,18
0,250;0,2516;-0,15;0,17
0,275;0,2478;-0,14;0,51
0,300;0,2441;-0,13;0,82
0,325;0,2414;-0,10;1,07
0,350;0,2391;-0,07;1,25
0,375;0,2377;-0,04;1,37
0,400;0,2372;0,00;1,43
0,425;0,2377;0,04;1,39
0,450;0,2390;0,07;1,27
0,475;0,2412;0,10;1,07
0,500;0,2441;0,12;0,82
0,525;0,2476;0,14;0,52
0,550;0,2513;0,15;0,19
0,575;0,2553;0,15;-0,17
0,600;0,2591;0,14;-0,53
0,625;0,2626;0,12;-0,83
0,650;0,2655;0,10;-1,07
0,675;0,2676;0,07;-1,25
0,700;0,2690;0,04;-1,38
0,725;0,2695;3,29E-5;-1,45
0,750;0,2691;-0,04;-1,40
0,775;0,2675;-0,07;-1,25
0,800;0,2653;-0,10;-1,04
0,825;0,2624;-0,12;-0,80
0,850;0,2590;-0,14;-0,52
0,875;0,2552;-0,15;-0,18
0,900;0,2512;-0,15;0,19
0,925;0,2474;-0,14;0,54
0,950;0,2440;-0,12;0,84
0,975;0,2412;-0,10;1,08
1,000;0,2389;-0,07;1,27
1,025;0,2377;-0,03;1,39
1,050;0,2372;0,00;1,44
1,075;0,2378;0,04;1,39
1,100;0,2392;0,07;1,24
1,125;0,2416;0,10;1,03
1,150;0,2445;0,13;0,78
1,175;0,2479;0,14;0,50
1,200;0,2517;0,15;0,17
1,225;0,2557;0,15;-0,20
1,250;0,2594;0,14;-0,56
1,275;0,2629;0,12;-0,86
1,300;0,2657;0,10;-1,09
1,325;0,2678;0,07;-1,27
1,350;0,2692;0,03;-1,41
1,375;0,2695;0,00;-1,45
1,400;0,2689;-0,04;-1,38
1,425;0,2674;-0,07;-1,24
1,450;0,2651;-0,10;-1,04
1,475;0,2621;-0,13;-0,78
1,500;0,2586;-0,14;-0,46
1,525;0,2547;-0,15;-0,11
1,550;0,2509;-0,15;0,23
1,575;0,2471;-0,14;0,54
1,600;0,2438;-0,12;0,84
1,625;0,2409;-0,10;1,12
1,650;0,2388;-0,07;1,33
1,675;0,2375;-0,03;1,42
1,700;0,2373;0,01;1,41
1,725;0,2380;0,04;1,33
