"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,43;;
0,050;0,48;1,02;
0,100;0,53;0,97;-1,17
0,150;0,58;0,90;-1,69
0,200;0,62;0,81;-2,18
0,250;0,66;0,68;-2,62
0,300;0,69;0,54;-2,94
0,350;0,71;0,38;-3,15
0,400;0,73;0,22;-3,30
0,450;0,74;0,06;-3,42
0,500;0,74;-0,12;-3,46
0,550;0,72;-0,30;-3,33
0,600;0,71;-0,46;-3,08
0,650;0,68;-0,60;-2,78
0,700;0,64;-0,74;-2,41
0,750;0,60;-0,85;-1,95
0,800;0,56;-0,94;-1,37
0,850;0,51;-0,99;-0,70
0,900;0,46;-1,01;-0,02
0,950;0,41;-0,99;0,66
1,000;0,36;-0,94;1,29
1,050;0,31;-0,86;1,87
1,100;0,27;-0,75;2,42
1,150;0,24;-0,62;2,93
1,200;0,21;-0,46;3,36
1,250;0,19;-0,28;3,59
1,300;0,18;-0,09;3,64
1,350;0,18;0,09;3,60
1,400;0,19;0,27;3,54
1,450;0,21;0,45;3,39
1,500;0,23;0,61;3,04
1,550;0,27;0,76;2,52
1,600;0,31;0,87;1,87
1,650;0,36;0,95;1,22
1,700;0,41;0,99;0,60
1,750;0,46;1,01;-0,05
1,800;0,51;0,99;-0,71
1,850;0,56;0,93;-1,37
1,900;0,60;0,85;-1,94
1,950;0,64;0,74;-2,42
2,000;0,68;0,60;-2,78
2,050;0,70;0,45;-3,03
2,100;0,72;0,30;-3,23
2,150;0,73;0,13;-3,40
2,200;0,74;-0,05;-3,47
2,250;0,73;-0,22;-3,37
2,300;0,71;-0,39;-3,15
2,350;0,69;-0,54;-2,88
2,400;0,66;-0,68;-2,57
2,450;0,62;-0,80;-2,17
2,500;0,58;-0,90;-1,63
2,550;0,53;-0,97;-0,99
2,600;0,48;-1,00;-0,34
2,650;0,43;-1,00;0,28
2,700;0,38;-0,97;0,91
2,750;0,33;-0,91;1,62
2,800;0,29;-0,81;2,32
2,850;0,25;-0,67;2,86
2,900;0,22;-0,51;3,20
2,950;0,20;-0,35;3,41
3,000;0,18;-0,17;3,54
3,050;0,18;0,01;3,61
3,100;0,19;0,19;3,59
3,150;0,20;0,37;3,44
3,200;0,22;0,54;3,15
3,250;0,25;0,69;2,71
3,300;0,29;0,82;2,14
3,350;0,34;0,91;1,48
3,400;0,39;0,96;0,82
3,450;0,43;0,99;0,22
3,500;0,49;0,99;-0,38
3,550;0,54;0,96;-1,03
3,600;0,58;0,88;-1,66
3,650;0,62;0,78;-2,20
3,700;0,66;0,66;-2,62
3,750;0,69;0,52;-2,95
3,800;0,71;0,36;-3,19
3,850;0,73;0,20;-3,32
3,900;0,73;0,03;-3,36
3,950;0,73;-0,14;-3,32
4,000;0,72;-0,31;-3,22
4,050;0,70;-0,47;-3,03
4,100;0,67;-0,61;-2,74
4,150;0,64;-0,74;-2,35
4,200;0,60;-0,85;-1,87
4,250;0,55;-0,93;-1,28
4,300;0,50;-0,98;-0,62
4,350;0,45;-1,00;0,04
4,400;0,40;-0,98;0,66
4,450;0,35;-0,93;1,28
4,500;0,31;-0,85;1,95
4,550;0,27;-0,74;2,59
4,600;0,23;-0,59;3,07
4,650;0,21;-0,42;3,35
4,700;0,19;-0,25;3,50
4,750;0,18;-0,07;3,58
4,800;0,18;0,11;3,60
4,850;0,19;0,29;3,51
4,900;0,21;0,47;3,26
4,950;0,24;0,63;2,85
5,000;0,28;0,76;2,32
5,050;0,32;0,86;1,76
5,100;0,36;0,93;1,18
5,150;0,41;0,98;0,57
5,200;0,46;0,99;-0,09
5,250;0,51;0,97;-0,78
5,300;0,56;0,91;-1,42
5,350;0,61;0,83;-1,98
5,400;0,64;0,71;-2,44
5,450;0,68;0,58;-2,79
5,500;0,70;0,43;-3,05
5,550;0,72;0,27;-3,23
5,600;0,73;0,11;-3,35
5,650;0,73;-0,07;-3,38
5,700;0,72;-0,24;-3,29
5,750;0,71;-0,40;-3,10
5,800;0,68;-0,55;-2,84
5,850;0,65;-0,69;-2,50
5,900;0,61;-0,80;-2,07
5,950;0,57;-0,90;-1,54
6,000;0,52;-0,96;-0,91
6,050;0,47;-0,99;-0,23
6,100;0,42;-0,98;0,42
6,150;0,38;-0,94;1,03
6,200;0,33;-0,88;1,67
6,250;0,29;-0,78;2,30
6,300;0,25;-0,64;2,80
6,350;0,22;-0,49;3,13
6,400;0,20;-0,33;3,37
6,450;0,19;-0,16;3,56
6,500;0,18;0,03;3,65
6,550;0,19;0,22;3,57
6,600;0,21;0,39;3,35
6,650;0,23;0,55;3,01
6,700;0,26;0,70;2,56
6,750;0,30;0,82;2,02
6,800;0,34;0,90;1,43
6,850;0,39;0,96;0,83
6,900;0,44;0,99;0,20
6,950;0,49;0,98;-0,48
7,000;0,54;0,94;-1,14
7,050;0,59;0,86;-1,73
7,100;0,63;0,76;-2,24
7,150;0,66;0,64;-2,64
7,200;0,69;0,49;-2,95
7,250;0,71;0,34;-3,16
7,300;0,73;0,17;-3,28
7,350;0,73;0,01;-3,33
7,400;0,73;-0,16;-3,29
7,450;0,71;-0,33;-3,17
7,500;0,69;-0,48;-2,97
7,550;0,67;-0,63;-2,66
7,600;0,63;-0,75;-2,26
7,650;0,59;-0,85;-1,77
7,700;0,54;-0,93;-1,18
7,750;0,50;-0,97;-0,52
7,800;0,45;-0,98;0,14
7,850;0,40;-0,96;0,74
7,900;0,35;-0,91;1,35
7,950;0,30;-0,83;2,00
8,000;0,26;-0,71;2,62
8,050;0,23;-0,56;3,08
8,100;0,21;-0,39;3,37
8,150;0,19;-0,22;3,53
8,200;0,19;-0,04;3,55
8,250;0,19;0,14;3,45
8,300;0,20;0,31;3,30
8,350;0,22;0,47;3,12
8,400;0,25;0,63;2,83
8,450;0,28;0,76;2,33
8,500;0,33;0,87;1,70
8,550;0,37;0,93;1,07
8,600;0,42;0,97;0,46
8,650;0,47;0,98;-0,18
8,700;0,52;0,96;-0,84
8,750;0,57;0,89;-1,48
8,800;0,61;0,80;-2,03
8,850;0,65;0,69;-2,46
8,900;0,68;0,55;-2,80
8,950;0,70;0,40;-3,06
9,000;0,72;0,24;-3,23
9,050;0,73;0,08;-3,32
9,100;0,73;-0,09;-3,30
9,150;0,72;-0,26;-3,21
9,200;0,70;-0,41;-3,04
9,250;0,68;-0,56;-2,79
9,300;0,65;-0,70;-2,44
9,350;0,61;-0,81;-1,98
9,400;0,56;-0,90;-1,42
9,450;0,52;-0,95;-0,79
9,500;0,47;-0,98;-0,15
9,550;0,42;-0,97;0,43
9,600;0,37;-0,93;1,01
9,650;0,32;-0,87;1,69
9,700;0,28;-0,77;2,41
9,750;0,24;-0,62;2,98
9,800;0,22;-0,46;3,28
9,850;0,20;-0,29;3,43
9,900;0,19;-0,12;3,49
9,950;0,19;0,07;3,48
10,000;0,20;0,24;3,40
10,050;0,21;0,40;3,26
10,100;0,24;0,57;2,98
10,150;0,27;0,71;2,50
10,200;0,31;0,82;1,91
10,250;0,35;0,90;1,32
10,300;0,40;0,95;0,73
10,350;0,45;0,98;0,10
10,400;0,50;0,96;-0,57
10,450;0,55;0,92;-1,21
10,500;0,59;0,84;-1,79
10,550;0,63;0,74;-2,27
10,600;0,67;0,61;-2,66
10,650;0,69;0,47;-2,95
10,700;0,71;0,31;-3,15
10,750;0,72;0,15;-3,26
10,800;0,73;-0,02;-3,30
10,850;0,72;-0,18;-3,25
10,900;0,71;-0,35;-3,12
10,950;0,69;-0,50;-2,89
11,000;0,66;-0,64;-2,57
11,050;0,62;-0,76;-2,17
11,100;0,58;-0,86;-1,66
11,150;0,54;-0,93;-1,06
11,200;0,49;-0,96;-0,40
11,250;0,44;-0,97;0,24
11,300;0,39;-0,94;0,83
11,350;0,34;-0,88;1,43
