"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,38;;
0,050;0,42;1,01;
0,100;0,48;1,02;-0,19
0,150;0,53;0,99;-1,06
0,200;0,58;0,90;-1,68
0,250;0,62;0,81;-2,14
0,300;0,66;0,69;-2,55
0,350;0,69;0,55;-2,97
0,400;0,72;0,39;-3,24
0,450;0,73;0,22;-3,37
0,500;0,74;0,05;-3,41
0,550;0,74;-0,12;-3,41
0,600;0,73;-0,29;-3,34
0,650;0,71;-0,46;-3,15
0,700;0,68;-0,61;-2,83
0,750;0,64;-0,74;-2,37
0,800;0,60;-0,85;-1,86
0,850;0,56;-0,93;-1,30
0,900;0,51;-0,98;-0,69
0,950;0,46;-1,00;-0,06
1,000;0,41;-0,99;0,57
1,050;0,36;-0,94;1,21
1,100;0,31;-0,87;1,89
1,150;0,27;-0,75;2,52
1,200;0,24;-0,61;3,00
1,250;0,21;-0,45;3,29
1,300;0,19;-0,28;3,50
1,350;0,18;-0,10;3,63
1,400;0,18;0,09;3,65
1,450;0,19;0,27;3,52
1,500;0,21;0,44;3,31
1,550;0,24;0,61;3,00
1,600;0,27;0,75;2,51
1,650;0,31;0,87;1,88
1,700;0,36;0,94;1,21
1,750;0,41;0,98;0,59
1,800;0,46;1,00;-0,03
1,850;0,51;0,98;-0,67
1,900;0,56;0,93;-1,28
1,950;0,60;0,85;-1,83
2,000;0,64;0,75;-2,35
2,050;0,68;0,61;-2,81
2,100;0,70;0,46;-3,13
2,150;0,72;0,29;-3,29
2,200;0,73;0,13;-3,36
2,250;0,74;-0,04;-3,40
2,300;0,73;-0,21;-3,38
2,350;0,71;-0,38;-3,25
2,400;0,69;-0,55;-2,96
2,450;0,66;-0,69;-2,53
2,500;0,62;-0,80;-2,06
2,550;0,58;-0,89;-1,54
2,600;0,53;-0,96;-0,96
2,650;0,48;-0,99;-0,32
2,700;0,43;-0,99;0,31
2,750;0,38;-0,96;0,90
2,800;0,33;-0,90;1,52
2,850;0,29;-0,81;2,17
2,900;0,25;-0,68;2,76
2,950;0,22;-0,53;3,19
3,000;0,20;-0,35;3,47
3,050;0,19;-0,18;3,63
3,100;0,18;0,01;3,67
3,150;0,19;0,20;3,59
3,200;0,20;0,38;3,37
3,250;0,22;0,54;3,08
3,300;0,26;0,68;2,67
3,350;0,29;0,81;2,14
3,400;0,34;0,90;1,50
3,450;0,39;0,96;0,82
3,500;0,43;0,98;0,22
3,550;0,49;0,98;-0,38
3,600;0,54;0,95;-0,99
3,650;0,58;0,88;-1,58
3,700;0,62;0,79;-2,09
3,750;0,66;0,67;-2,55
3,800;0,69;0,53;-2,96
3,850;0,71;0,37;-3,24
3,900;0,73;0,20;-3,36
3,950;0,73;0,03;-3,40
4,000;0,73;-0,14;-3,39
4,050;0,72;-0,31;-3,29
4,100;0,70;-0,48;-3,06
4,150;0,67;-0,62;-2,69
4,200;0,64;-0,75;-2,25
4,250;0,60;-0,85;-1,78
4,300;0,55;-0,93;-1,24
4,350;0,50;-0,98;-0,63
4,400;0,45;-0,99;0,03
4,450;0,40;-0,97;0,67
4,500;0,36;-0,92;1,31
4,550;0,31;-0,84;1,93
4,600;0,27;-0,73;2,50
4,650;0,24;-0,59;2,96
4,700;0,21;-0,43;3,28
4,750;0,19;-0,26;3,51
4,800;0,18;-0,07;3,63
4,850;0,19;0,11;3,63
4,900;0,20;0,29;3,51
4,950;0,22;0,47;3,28
5,000;0,24;0,62;2,91
5,050;0,28;0,76;2,36
5,100;0,32;0,87;1,70
5,150;0,37;0,93;1,06
5,200;0,41;0,97;0,50
5,250;0,46;0,98;-0,07
5,300;0,51;0,97;-0,70
5,350;0,56;0,91;-1,33
5,400;0,61;0,83;-1,88
5,450;0,64;0,72;-2,37
5,500;0,68;0,59;-2,80
5,550;0,70;0,44;-3,12
5,600;0,72;0,27;-3,30
5,650;0,73;0,10;-3,37
