"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,52;;
0,050;0,54;0,32;
0,100;0,55;0,26;-1,15
0,150;0,56;0,20;-1,29
0,200;0,57;0,13;-1,40
0,250;0,58;0,06;-1,46
0,300;0,58;-0,01;-1,47
0,350;0,58;-0,09;-1,44
0,400;0,57;-0,16;-1,37
0,450;0,56;-0,23;-1,25
0,500;0,55;-0,29;-1,09
0,550;0,53;-0,34;-0,88
0,600;0,51;-0,38;-0,65
0,650;0,49;-0,40;-0,39
0,700;0,47;-0,42;-0,09
0,750;0,45;-0,41;0,25
0,800;0,43;-0,39;0,56
0,850;0,41;-0,35;0,77
0,900;0,39;-0,31;0,88
0,950;0,38;-0,27;1,01
1,000;0,37;-0,21;1,18
1,050;0,36;-0,14;1,32
1,100;0,35;-0,08;1,43
1,150;0,35;-0,01;1,53
1,200;0,35;0,08;1,58
1,250;0,36;0,16;1,46
1,300;0,37;0,23;1,21
1,350;0,38;0,28;0,98
1,400;0,40;0,32;0,86
1,450;0,41;0,37;0,73
1,500;0,43;0,40;0,48
1,550;0,45;0,42;0,14
1,600;0,48;0,41;-0,18
1,650;0,50;0,40;-0,45
1,700;0,52;0,37;-0,70
1,750;0,53;0,33;-0,92
1,800;0,55;0,27;-1,12
1,850;0,56;0,21;-1,27
1,900;0,57;0,15;-1,38
1,950;0,58;0,07;-1,45
2,000;0,58;-9,82E-4;-1,47
2,050;0,58;-0,08;-1,44
2,100;0,57;-0,15;-1,38
2,150;0,56;-0,21;-1,27
2,200;0,55;-0,27;-1,11
2,250;0,53;-0,33;-0,92
2,300;0,52;-0,37;-0,69
2,350;0,50;-0,40;-0,43
2,400;0,47;-0,41;-0,14
2,450;0,45;-0,41;0,19
2,500;0,43;-0,39;0,51
2,550;0,41;-0,36;0,73
2,600;0,40;-0,32;0,84
2,650;0,38;-0,27;0,97
2,700;0,37;-0,22;1,14
2,750;0,36;-0,16;1,31
2,800;0,35;-0,09;1,44
2,850;0,35;-0,02;1,54
2,900;0,35;0,07;1,57
2,950;0,36;0,15;1,44
3,000;0,37;0,22;1,20
3,050;0,38;0,26;1,01
3,100;0,39;0,31;0,91
3,150;0,41;0,36;0,78
3,200;0,43;0,40;0,52
3,250;0,45;0,41;0,19
3,300;0,47;0,41;-0,13
3,350;0,49;0,40;-0,40
3,400;0,51;0,37;-0,65
3,450;0,53;0,33;-0,88
3,500;0,55;0,28;-1,08
3,550;0,56;0,22;-1,24
3,600;0,57;0,16;-1,36
3,650;0,57;0,09;-1,43
3,700;0,58;0,01;-1,46
3,750;0,58;-0,06;-1,45
3,800;0,57;-0,13;-1,39
3,850;0,56;-0,20;-1,29
3,900;0,55;-0,26;-1,14
3,950;0,54;-0,32;-0,95
4,000;0,52;-0,36;-0,72
4,050;0,50;-0,39;-0,48
4,100;0,48;-0,41;-0,21
4,150;0,46;-0,41;0,10
4,200;0,44;-0,40;0,44
4,250;0,42;-0,37;0,72
4,300;0,40;-0,32;0,89
4,350;0,39;-0,28;0,99
4,400;0,37;-0,23;1,10
4,450;0,36;-0,17;1,24
4,500;0,35;-0,10;1,39
4,550;0,35;-0,03;1,50
4,600;0,35;0,05;1,54
4,650;0,36;0,13;1,44
4,700;0,36;0,20;1,25
4,750;0,38;0,25;1,08
4,800;0,39;0,30;0,96
4,850;0,41;0,35;0,82
