"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
0,000;0,43;;
0,050;0,44;0,09;
0,100;0,44;0,11;0,23
0,150;0,45;0,12;0,14
0,200;0,45;0,12;0,06
0,250;0,46;0,12;-0,03
0,300;0,47;0,12;-0,12
0,350;0,47;0,11;-0,20
0,400;0,48;0,10;-0,26
0,450;0,48;0,08;-0,32
0,500;0,49;0,07;-0,36
0,550;0,49;0,05;-0,40
0,600;0,49;0,03;-0,43
0,650;0,49;0,00;-0,44
0,700;0,49;-0,02;-0,44
0,750;0,49;-0,04;-0,42
0,800;0,49;-0,06;-0,37
0,850;0,48;-0,08;-0,31
0,900;0,48;-0,09;-0,24
0,950;0,47;-0,10;-0,18
1,000;0,47;-0,11;-0,13
1,050;0,46;-0,11;-0,09
1,100;0,46;-0,12;-0,05
1,150;0,45;-0,12;0,03
1,200;0,44;-0,12;0,16
1,250;0,44;-0,11;0,28
1,300;0,43;-0,09;0,35
1,350;0,43;-0,07;0,39
1,400;0,43;-0,05;0,41
1,450;0,43;-0,03;0,43
1,500;0,42;-0,01;0,44
1,550;0,42;0,02;0,44
1,600;0,43;0,04;0,42
1,650;0,43;0,06;0,39
1,700;0,43;0,08;0,35
1,750;0,44;0,09;0,28
1,800;0,44;0,11;0,21
1,850;0,45;0,12;0,14
1,900;0,45;0,12;0,06
1,950;0,46;0,12;-0,02
2,000;0,47;0,12;-0,10
2,050;0,47;0,11;-0,18
2,100;0,48;0,10;-0,25
2,150;0,48;0,09;-0,31
2,200;0,49;0,07;-0,36
2,250;0,49;0,05;-0,39
2,300;0,49;0,03;-0,42
2,350;0,49;0,01;-0,44
2,400;0,49;-0,01;-0,43
2,450;0,49;-0,04;-0,41
2,500;0,49;-0,06;-0,38
2,550;0,48;-0,07;-0,35
2,600;0,48;-0,09;-0,29
2,650;0,48;-0,10;-0,22
2,700;0,47;-0,11;-0,15
2,750;0,46;-0,12;-0,08
2,800;0,46;-0,12;0,01
2,850;0,45;-0,12;0,09
2,900;0,45;-0,11;0,16
2,950;0,44;-0,10;0,22
3,000;0,44;-0,09;0,28
3,050;0,43;-0,07;0,35
3,100;0,43;-0,05;0,41
3,150;0,43;-0,03;0,44
3,200;0,42;-0,01;0,45
3,250;0,42;0,01;0,44
3,300;0,43;0,04;0,42
3,350;0,43;0,06;0,39
3,400;0,43;0,07;0,35
3,450;0,44;0,09;0,29
3,500;0,44;0,10;0,23
3,550;0,45;0,11;0,15
3,600;0,45;0,12;0,07
3,650;0,46;0,12;-0,01
3,700;0,46;0,12;-0,09
3,750;0,47;0,11;-0,16
3,800;0,48;0,10;-0,23
3,850;0,48;0,09;-0,29
3,900;0,49;0,07;-0,35
3,950;0,49;0,05;-0,39
4,000;0,49;0,03;-0,42
4,050;0,49;0,01;-0,43
4,100;0,49;-0,01;-0,43
4,150;0,49;-0,03;-0,42
4,200;0,49;-0,05;-0,39
4,250;0,49;-0,07;-0,34
4,300;0,48;-0,09;-0,28
4,350;0,48;-0,10;-0,22
4,400;0,47;-0,11;-0,14
4,450;0,47;-0,11;-0,07
4,500;0,46;-0,11;-0,02
4,550;0,45;-0,12;0,01
4,600;0,45;-0,11;0,09
4,650;0,44;-0,11;0,20
4,700;0,44;-0,10;0,29
